file,encoding,delimiter,bytes,fields,rows,valid,errors,validPackage,frictionLessError,downloadURL
17,utf-8,",",21509,10,322,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRjgXM-jhFCj9FSoC3BWd7EYtOrwxU2HH1xDviGAz_r5sqaglQf6clOhqcMSj8YAbiZQSgffb4CfPvK/pub?gid=763661727&single=true&output=csv
17,utf-8,",",21509,10,322,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRjgXM-jhFCj9FSoC3BWd7EYtOrwxU2HH1xDviGAz_r5sqaglQf6clOhqcMSj8YAbiZQSgffb4CfPvK/pub?gid=763661727&single=true&output=csv
18,utf-8,",",3473,25,25,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vT7yW3Xg0wqTGXPf3pD2eRmgcCcl6ZGGR0Wq6bMCynRyoCExiHDdfoXpCTygsuervwqhD_28xsEpcuk/pub?output=csv
18,utf-8,",",3473,25,25,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vT7yW3Xg0wqTGXPf3pD2eRmgcCcl6ZGGR0Wq6bMCynRyoCExiHDdfoXpCTygsuervwqhD_28xsEpcuk/pub?output=csv
18,utf-8,",",3473,25,25,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vT7yW3Xg0wqTGXPf3pD2eRmgcCcl6ZGGR0Wq6bMCynRyoCExiHDdfoXpCTygsuervwqhD_28xsEpcuk/pub?output=csv
18,utf-8,",",3473,25,25,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vT7yW3Xg0wqTGXPf3pD2eRmgcCcl6ZGGR0Wq6bMCynRyoCExiHDdfoXpCTygsuervwqhD_28xsEpcuk/pub?output=csv
19,utf-8,",",410,2,29,true,0,true,0,http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/f834f386-3bc5-46a9-b25a-bb654f32bb3e/download/electricity.csv
19,utf-8,",",410,2,29,true,0,true,0,http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/f834f386-3bc5-46a9-b25a-bb654f32bb3e/download/electricity.csv
19,utf-8,",",410,2,29,true,0,true,0,http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/f834f386-3bc5-46a9-b25a-bb654f32bb3e/download/electricity.csv
19,utf-8,",",410,2,29,true,0,true,0,http://dati.comune.matera.it/dataset/44beed86-8a16-4fce-9123-058aa4e4dbcf/resource/f834f386-3bc5-46a9-b25a-bb654f32bb3e/download/electricity.csv
20,utf-8,",",355,5,4,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyng3n9BZbqiusYv2xRN2pMDeWPaaGA5chglTWA3xdEF9wGOscdIj3z-ujTTJzF2lLqIe8duFWsPHB/pub?output=csv
20,utf-8,",",355,5,4,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyng3n9BZbqiusYv2xRN2pMDeWPaaGA5chglTWA3xdEF9wGOscdIj3z-ujTTJzF2lLqIe8duFWsPHB/pub?output=csv
20,utf-8,",",355,5,4,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyng3n9BZbqiusYv2xRN2pMDeWPaaGA5chglTWA3xdEF9wGOscdIj3z-ujTTJzF2lLqIe8duFWsPHB/pub?output=csv
20,utf-8,",",355,5,4,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRyng3n9BZbqiusYv2xRN2pMDeWPaaGA5chglTWA3xdEF9wGOscdIj3z-ujTTJzF2lLqIe8duFWsPHB/pub?output=csv
21,utf-8,",",97690,9,642,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnUOCcjZ6ThHSydHM53wXMiioLCBcwjLCj-c1bvMHY7xkf2siZt-HDv5nUCZA1qNC4wZiF16X1gCqS/pub?output=csv
21,utf-8,",",97690,9,642,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnUOCcjZ6ThHSydHM53wXMiioLCBcwjLCj-c1bvMHY7xkf2siZt-HDv5nUCZA1qNC4wZiF16X1gCqS/pub?output=csv
21,utf-8,",",97690,9,642,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnUOCcjZ6ThHSydHM53wXMiioLCBcwjLCj-c1bvMHY7xkf2siZt-HDv5nUCZA1qNC4wZiF16X1gCqS/pub?output=csv
21,utf-8,",",97690,9,642,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnUOCcjZ6ThHSydHM53wXMiioLCBcwjLCj-c1bvMHY7xkf2siZt-HDv5nUCZA1qNC4wZiF16X1gCqS/pub?output=csv
22,utf-8,",",678,7,6,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkUmYOzXD-xkMIstgmPzZF1MTgmHMku6BZxjR6iKL2mX7s6k0UfayfUHpKkQbH_teCzW1cClGEf1iD/pub?output=csv
22,utf-8,",",678,7,6,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkUmYOzXD-xkMIstgmPzZF1MTgmHMku6BZxjR6iKL2mX7s6k0UfayfUHpKkQbH_teCzW1cClGEf1iD/pub?output=csv
22,utf-8,",",678,7,6,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkUmYOzXD-xkMIstgmPzZF1MTgmHMku6BZxjR6iKL2mX7s6k0UfayfUHpKkQbH_teCzW1cClGEf1iD/pub?output=csv
22,utf-8,",",678,7,6,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkUmYOzXD-xkMIstgmPzZF1MTgmHMku6BZxjR6iKL2mX7s6k0UfayfUHpKkQbH_teCzW1cClGEf1iD/pub?output=csv
25,utf-8,",",945,7,26,true,0,true,0,http://goo.gl/dtTXsQ
25,utf-8,",",945,7,26,true,0,true,0,http://goo.gl/dtTXsQ
25,utf-8,",",945,7,26,true,0,true,0,http://goo.gl/dtTXsQ
25,utf-8,",",945,7,26,true,0,true,0,http://goo.gl/dtTXsQ
26,utf-8,",",8025,15,121,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTV5FG7vfdAGYp-KfPNTZr3BGYl-GiicpApU43HQcUZWv0vusV0NKhSuSSJogLo2LUkfz1Afr4815nN/pub?gid=0&single=true&output=csv
26,utf-8,",",8025,15,121,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTV5FG7vfdAGYp-KfPNTZr3BGYl-GiicpApU43HQcUZWv0vusV0NKhSuSSJogLo2LUkfz1Afr4815nN/pub?gid=0&single=true&output=csv
26,utf-8,",",8025,15,121,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTV5FG7vfdAGYp-KfPNTZr3BGYl-GiicpApU43HQcUZWv0vusV0NKhSuSSJogLo2LUkfz1Afr4815nN/pub?gid=0&single=true&output=csv
26,utf-8,",",8025,15,121,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vTV5FG7vfdAGYp-KfPNTZr3BGYl-GiicpApU43HQcUZWv0vusV0NKhSuSSJogLo2LUkfz1Afr4815nN/pub?gid=0&single=true&output=csv
28,utf-8,",",3245,5,26,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv
28,utf-8,",",3245,5,26,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv
28,utf-8,",",3245,5,26,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv
28,utf-8,",",3245,5,26,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vR0G0UoZ-XHjM0RperhCzCdXG198xkmdvkogcY0X5evvLgMJGyCVDttg4J9f7a8qfG8uYtGtjsX5Bw9/pub?output=csv
29,utf-8,",",501,13,10,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=549249815&single=true&output=csv
29,utf-8,",",501,13,10,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=549249815&single=true&output=csv
29,utf-8,",",501,13,10,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=549249815&single=true&output=csv
29,utf-8,",",501,13,10,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSmgaHVVzjj2DanEYK8um9V-WiNyDMD5HF9_IUSQW7WN0-efKWLdtXmUaKATp09gzkN6ZPZPBbdmMq3/pub?gid=549249815&single=true&output=csv
31,utf-8,",",2548,4,23,true,0,true,0,http://dati.comune.matera.it/dataset/d4ae999a-5aa1-47ee-8218-55272cb6a049/resource/ebed3ff0-8155-4a8b-a407-25d61f3c7f15/download/suonodellaclava.csv
31,utf-8,",",2548,4,23,true,0,true,0,http://dati.comune.matera.it/dataset/d4ae999a-5aa1-47ee-8218-55272cb6a049/resource/ebed3ff0-8155-4a8b-a407-25d61f3c7f15/download/suonodellaclava.csv
31,utf-8,",",2548,4,23,true,0,true,0,http://dati.comune.matera.it/dataset/d4ae999a-5aa1-47ee-8218-55272cb6a049/resource/ebed3ff0-8155-4a8b-a407-25d61f3c7f15/download/suonodellaclava.csv
31,utf-8,",",2548,4,23,true,0,true,0,http://dati.comune.matera.it/dataset/d4ae999a-5aa1-47ee-8218-55272cb6a049/resource/ebed3ff0-8155-4a8b-a407-25d61f3c7f15/download/suonodellaclava.csv
32,utf-8,",",4128,7,41,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vStJioWrx3sM00lny5OAlziYWKyaR5hNlc7YtvTPxYstWJIRAlC4uadriB0x9BQ3vI5zigRDPIt86-g/pub?output=csv
32,utf-8,",",4128,7,41,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vStJioWrx3sM00lny5OAlziYWKyaR5hNlc7YtvTPxYstWJIRAlC4uadriB0x9BQ3vI5zigRDPIt86-g/pub?output=csv
32,utf-8,",",4128,7,41,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vStJioWrx3sM00lny5OAlziYWKyaR5hNlc7YtvTPxYstWJIRAlC4uadriB0x9BQ3vI5zigRDPIt86-g/pub?output=csv
32,utf-8,",",4128,7,41,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vStJioWrx3sM00lny5OAlziYWKyaR5hNlc7YtvTPxYstWJIRAlC4uadriB0x9BQ3vI5zigRDPIt86-g/pub?output=csv
33,utf-8,",",261467,6,4626,false,2,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIDnMIpcz6rCBSNOnrIwNt_g4N-ndkvSWyEGcxCQkY3000ohE7fGdqdCTJt8ATiGcieIXGPLhqvKXo/pub?gid=0&single=true&output=csv
33,utf-8,",",261467,6,4626,false,2,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIDnMIpcz6rCBSNOnrIwNt_g4N-ndkvSWyEGcxCQkY3000ohE7fGdqdCTJt8ATiGcieIXGPLhqvKXo/pub?gid=0&single=true&output=csv
33,utf-8,",",261467,6,4626,false,2,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIDnMIpcz6rCBSNOnrIwNt_g4N-ndkvSWyEGcxCQkY3000ohE7fGdqdCTJt8ATiGcieIXGPLhqvKXo/pub?gid=0&single=true&output=csv
33,utf-8,",",261467,6,4626,false,2,false,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vRIDnMIpcz6rCBSNOnrIwNt_g4N-ndkvSWyEGcxCQkY3000ohE7fGdqdCTJt8ATiGcieIXGPLhqvKXo/pub?gid=0&single=true&output=csv
34,iso8859-1,",",2422,6,76,true,0,true,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/8b4bb4bf-2943-4b1c-b814-362d39fea85c/download/stranieri2011.csv
34,iso8859-1,",",2422,6,76,true,0,true,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/8b4bb4bf-2943-4b1c-b814-362d39fea85c/download/stranieri2011.csv
34,iso8859-1,",",2422,6,76,true,0,true,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/8b4bb4bf-2943-4b1c-b814-362d39fea85c/download/stranieri2011.csv
34,iso8859-1,",",2422,6,76,true,0,true,0,http://dati.comune.matera.it/dataset/8afefc12-85e0-4e2f-8b11-733bb95b1bf7/resource/8b4bb4bf-2943-4b1c-b814-362d39fea85c/download/stranieri2011.csv
35,utf-8,",",1317,5,23,true,0,true,0,https://docs.google.com/spreadsheets/d/e/2PACX-1vT_iZTfGtQpRA5gZNPnMerxaLy_1w8u80lSt3rYArenprOJYQExVN5sDDR9m0YeBNM-SswE13THFJCB/pub?output=csv
